BUILDING_NUMBER/	BUILDINGNAME/			MATERIAL_FILENAME/		MOUSEOVER_FILENAME/	MATSCALE/	OFFSETX/	OFFSETZ/	OFFSETY/	MOUSEOVERY/	COST_TYPE/	COST_AMOUNT/	TECH_PREREQ/	JOB1/	JOB2/	JOB3/	JOB4/	BONUSRANGE/	BUILD_DIFFICULTY/	PROD_BONUS/	DEMOLISHABLE/	WILDRATE/	DESTROYEVENT/	DESTROYPARAM1/	DESTROYPARAM2/	TOOLTIP/
1/			no building/			ForestPlane/			/			4.16/		-1.5/		0/		0.5/		0/		0/		0/		2/		0/	0/	0/	0/	0/		0/			0/		0/		0/		0/		0/		0/		0/
2/			Command Center/			CommandCenter1/			/			3.5/		-1.0/		6.2/		0.5/		0/		1/		100/		2/		1/	2/	3/	4/	0/		16/			0/		0/		0/		0/		0/		0/		The command center is the starting structure. It can be used to gather food, wood, and to build things. It can also be used to scout./
3/			Farm/				FarmLvl02/			/			4/		0/		0/		0.5/		0/		1/		10/		9/		2/	0/	0/	0/	0/		4/			4/		15/		0/		0/		0/		0/		Assigning a worker to a farm allows you to collect food in a 1 tile radius. It also gives +4 bonus production./
4/			Woodmill/			WoodMill/			/			4.5/		0/		0/		0.6/		0/		1/		10/		9/		1/	0/	0/	0/	0/		4/			4/		15/		0/		0/		0/		0/		Assigning a worker to a woodmill allows you to collect wood in a 1 tile radius. It also gives +4 bonus production./
5/			Survey Tower/			ScoutTower/			/			4.5/		1.8/		1/		0.5/		0/		1/		20/		10/		4/	0/	0/	0/	0/		4/			0/		15/		0/		0/		0/		0/		Assigning a worker to a scout tower allows you to scout in a 3 tile radius./
6/			Construction Yard/		ConstructionSite/		/			2/		-0.3/		0.3/		0.5/		0/		1/		20/		10/		3/	15/	0/	0/	0/		6/			0/		15/		0/		0/		0/		0/		Assigning a worker to a construction yard allows you to build structures in a 2 tile radius./
7/			no building - worked/		ForestPlane/			/			4.16/		-1.5/		0/		0.5/		0/		0/		0/		2/		0/	0/	0/	0/	0/		0/			0/		0/		0/		0/		0/		0/		0/
8/			fog of war graphic/		placeholder_unsurveyed/		/			22/		0/		0/		0.5/		0/		0/		0/		2/		0/	0/	0/	0/	0/		0/			0/		0/		0/		0/		0/		0/		0/
9/			fog of war with scout/		placeholder_surveyprogress/	/			1/		0/		0/		0.5/		0/		0/		0/		2/		0/	0/	0/	0/	0/		0/			0/		0/		0/		0/		0/		0/		0/
10/			Laboratory/			Labratory/			/			2/		0/		0/		0.55/		0/		1/		20/		1/		6/	16/	24/	21/	0/		-2/			0/		15/		0/		0/		0/		0/		Assigning a worker to a laboratory allows you to research new technologies./
11/			Library/			Library/			/			4/		0/		0/		0.75/		0/		1/		40/		3/		7/	0/	0/	0/	0/		6/			0/		15/		0/		0/		0/		0/		Assigning a worker to a library allows them to spend skill points, improving their skills if they have free skill points/
12/			Destasis Chamber/		CryoChamber1/			CryoChamber_Inner/	3.5/		1.12/		1.32/		0.5/		0.1/		3/		20/		5/		9/	0/	0/	0/	0/		6/			0/		15/		0/		0/		0/		0/		Assigning a worker to a destasis chamber allows you to recover people from stasis pods, increasing your population/
13/			Metals Mine/			placeholder_ironmine/		/			1/		0/		0/		0.5/		0/		1/		40/		6/		10/	0/	0/	0/	0/		6/			0/		15/		0/		0/		0/		0/		Assigning a worker to an metals mine allows you to collect metals/
14/			Improved Farm/			FarmLvl05/			/			4/		0/		0/		0.55/		0/		1/		60/		8/		2/	0/	0/	0/	0/		8/			8/		15/		0/		0/		0/		0/		Assigning a worker to an improved farm allows you to collect food in a 1 tile radius. It also gives +8 bonus production./
