TECH_NUMBER/	TECHNAME/		CATEGORY/	Prereq_tech1/	Prereq_tech2/	Prereq_item/	Difficulty/ 	TOOLTIP/
1/		No prereq/		0/		1/		1/		0/		0/		/
2/		Never/			0/		1/		1/		0/		0/		/
3/		Libraries/		6/		1/		1/		0/		4/		Allows you to build libraries, where you can spend skill points to improve colonists/
4/		Propaganda/		16/		3/		5/		0/		6/		Allows you to build propoganda centers, which can convince wounded enemies to defect and join your colony/
5/		Stasis Breaking/	16/		6/		14/		0/		6/		Allows you to build stasis breaking chambers, where you can rescue humans from stasis pods/
6/		Metals Mining/		6/		1/		1/		0/		4/		Allows you to mine metals, used for many early game items/
7/		Improved Woodcutting/	16/		6/		9/		0/		8/		Allows you to build improved woodmills, increasing wood production/	
8/		Improved Farming/	16/		6/		9/		0/		10/		Allows you to build improved farms, increasing food production/
9/		Foraging/		6/		1/		1/		0/		2/		Allows you to build farms and woodmills, increasing food and wood production/
10/		Expansion/		6/		9/		1/		0/		8/		Allows you to build construction yards and scout towers, giving you the ability to expand your territory beyond your starting command center/
11/		Workshops/		6/		1/		1/		0/		4/		Allows you to build workshops. With workshops, you can craft new items including tools and weapons./
12/		Improved Tools/		6/		11/		1/		0/		10/		Allows you to build gear in the workshop to further enhance the productivity of your workers./
13/		Pistols/		6/		11/		6/		0/		10/		Allows you to build pistols in your workshop./
14/		Xenobiology/		6/		3/		9/		0/		10/		Allows you to access the xenobiology tech tree./
15/		Energy extraction/	6/		14/		1/		0/		10/		Allows you to build power plants. Power is used for midgame structures and items/
16/		Shotguns/		6/		12/		13/		0/		11/		Allows you to build shotguns./
17/		Improved Metals Mining/	24/		15/		37/		0/		10/		Allows you to build improved iron mines./
18/		Demolitions/		6/		10/		1/		0/		8/		Allows you to demolish buildings from the construction yard, removing obsolete structures or encroaching alien structures./
19/		Healing/		16/		14/		1/		0/		8/		The most simple medical tech. Allows you to build clinics./
20/		Armor/			6/		6/		11/		0/		10/		Allows you to build basic armor in the workshop to improve the defense of your fighters/
21/		Rifles/			6/		16/		38/		0/		12/		Allows you to build the assault rifle/
22/		Machineguns/		6/		21/		1/		0/		14/		Allows you to build the machinegun, a powerful automatic weapon./
23/		Bulletproof vests/	6/		17/		20/		0/		12/		Allows you to build bulletproof vests, to improve the defense of your fighters./
24/		Improved healing/	16/		19/		25/		0/		12/		Allows you to build the medbay, increasing the efficiency of your healers./
25/		VR libraries/		6/		14/		1/		0/		8/		Allows you to build a VR library, where you can train people in tier 2 skills./
26/		Alien Technology/	16/		14/		1/		17/		12/		We have begun to recover various alien items. Researching this tech will allow us to reverse engineer them for our own purposes./
27/		Alien Vaccines/		21/		19/		1/		8/		10/		Our healers believe that the poison on the termitefolk spears can be processed into a potent vaccine, effectively immunizing our colonists from future plagues./
28/		REMOVED Alien Religion/	21/		2/		2/		17/		10/		Our scientists believe that the green armbands are important to their religion. Studying them may uncover useful data about alien society./
